id,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Настройки-Параметры товаров-Отображать в навигации
1,Наименование,name,Наименование,Наименование для интернет-магазина,model,Длинное наименование [OLD_NAME],
2,Артикул,vendorCode,Код артикула,Артикул,Артикул,"﻿ \""Внешний код\""",
3,Наименование артикула,,Наименование артикула,,,,
4,Цена,price,Цена,price,price,Цена ”Розничная цена”,
5,Валюта,currencyId,Валюта,currencyId,currencyId,"""\""Валюта для цены \""\""Розничная цена\""\""\""""",Не отображать в общем фильтре
6,Остаток,Stock,Доступен для заказа,,Остаток,"Количество на складе ""Основной склад (с. Дмитровское)""",Не отображать в общем фильтре
7,Категория,Категория,Тип товаров,Тип (сегмент ЯМ),category,Название раздела,
8,Тип товаров,,Тип товаров,,,,Не отображать в общем фильтре
9,Бренд,vendor,Бренд,vendor,Бренд,”Бренд [MANUFACTURER]”,
10,Колекция,collection_name,,Коллекция,Коллекция,,
11,Серия,series_name,Серия,,,Серия [series],
12,Стиль,style_name,,,,,Не отображать в общем фильтре
13,"Срок службы, ч",,,"Срок службы, ч",,"Срок службы, ч [srok_sluzhby]",Не отображать в общем фильтре
14,"Гарантия, лет",Гарантия,,,Гарантия,Гарантия [garantiya],Не отображать в общем фильтре
15,Страна,,,,Страна,,Не отображать в общем фильтре
16,Производитель светодиода,,,,,Производитель светодиода [proizvoditel_svetodioda],Не отображать в общем фильтре
17,Качество,,,,,Качество [kachestvo],Не отображать в общем фильтре
18,Штрихкод,barcode,,barcode,barcode,,Не отображать в общем фильтре
19,Код ТНВЭД,КодТНВЭД,,,,,Не отображать в общем фильтре
20,Краткое описание,,Краткое описание,,description,,Не отображать в общем фильтре
21,Краткое описание,,Описание,,,,Не отображать в общем фильтре
22,Тип монтажа,ТипМонтажаВстраиваемогоСветильника,Тип монтажа,"Монтаж, Врезной / Накладной",,Тип монтажа [mounting_type],
23,Место установки,,,,Место установки,,Не отображать в общем фильтре
24,Помещения,Типы помещении,,Зона размещения,,,Не отображать в общем фильтре
